0	APBGame.APBAnimNotify_FootstepVFX.FootstepWeight	Enum	0x072AB408
1	APBGame.APBAnimNotify_FootstepVFX.Weight	ByteProperty	0x072AB458
2	APBGame.APBAnimNotify_FootstepVFX.Bone	NameProperty	0x072AB4D0
3	APBGame.APBAnimNotify_FootstepVFX	Class	0x17EC03A0
4	APBGame.Default__APBAnimNotify_FootstepVFX	APBAnimNotify_FootstepVFX	0x06CEF270
5	APBGame.APBAnimNotify_Kismet.AnimName	StrProperty	0x072AB548
6	APBGame.APBAnimNotify_Kismet	Class	0x0F7C75D0
7	APBGame.Default__APBAnimNotify_Kismet	APBAnimNotify_Kismet	0x06CB5DF0
8	APBGame.cAPBConsoleCommands.Command_APBEchoScript.arguments.arguments	StrProperty	0x072AB6E0
9	APBGame.cAPBConsoleCommands.Command_APBEchoScript.I	IntProperty	0x072AB758
10	APBGame.cAPBConsoleCommands.Command_APBEchoScript.sTmp	StrProperty	0x072AB7D0
11	APBGame.cAPBConsoleCommands.Command_APBEchoScript.bOk	BoolProperty	0x072AB848
12	APBGame.cAPBConsoleCommands.Command_APBEchoScript.ReturnValue	BoolProperty	0x072AB8C0
13	APBGame.cAPBConsoleCommands.Command_APBEchoScript.manager	ObjectProperty	0x072AB938
14	APBGame.cAPBConsoleCommands.Command_APBEchoScript.arguments	ArrayProperty	0x072AB668
15	APBGame.cAPBConsoleCommands.Command_APBEchoScript.eMode	ByteProperty	0x072AB9B0
16	APBGame.cAPBConsoleCommands.Command_APBEchoScript	Function	0x072AB5C0
17	APBGame.cAPBConsoleCommands.RegisterAPBConsoleCommands	Function	0x072ABA28
18	APBGame.cAPBConsoleCommands.RegisterAPBConsoleCommands_Script.manager	ObjectProperty	0x072ABB78
19	APBGame.cAPBConsoleCommands.RegisterAPBConsoleCommands_Script	Function	0x072ABAD0
20	APBGame.cAPBConsoleCommands	Class	0x17EC44E0
21	APBGame.Default__cAPBConsoleCommands	cAPBConsoleCommands	0x06CEDB78
22	APBGame.APBGameEngine.m_pMultiMonitorSupport	StructProperty	0x072ABBF0
