# Package: APBGame
#
# Runtime source: live UPackage::NetObjects @ +0x80
# UObject::NetIndex @ +0x24; validated by NetObjects[index] == UObject*
# GlobalNetIndex = Package.ObjectBase + local index
#
# generated 2026-09-03T22:23:19+03:00
# ObjectBase=33506 ObjectCount=30964 NetObjects.Num=30964 CurrentNumNetObjects=29145 nonNull=29145 mismatches=0
# GenerationNetObjectCount=[30964, 30964]
#
# calibration against direct runtime knowledge:
#   APBGame.cAPBPlayerController expected=12772 actual=12772 OK
#   APBGame.Default__cAPBPlayerController expected=12773 actual=12773 OK
#   APBGame.cAPBVehicle expected=13637 actual=13637 OK
#
# index	name

0	FootstepWeight
1	Weight
2	Bone
3	APBAnimNotify_FootstepVFX
4	Default__APBAnimNotify_FootstepVFX
5	AnimName
6	APBAnimNotify_Kismet
7	Default__APBAnimNotify_Kismet
8	arguments
9	I
10	sTmp
11	bOk
12	ReturnValue
13	manager
14	arguments
15	eMode
16	Command_APBEchoScript
17	RegisterAPBConsoleCommands
18	manager
19	RegisterAPBConsoleCommands_Script
20	cAPBConsoleCommands
21	Default__cAPBConsoleCommands
22	m_pMultiMonitorSupport
23	m_NamedSharedMemory
24	m_FlythroughSpawner
25	m_GolemSpawner
26	m_pStaticGameInfo
27	m_AudioManager
28	m_HUDMarkerManager
29	m_LoadingMovieMgr
30	m_bIsSoak
31	m_bSupressLoadingScreens
32	m_bOnlyLoadDatabaseAtChangelist
33	m_WeatherManager
34	m_AssetDescriptorManager
35	m_TextureStreamingTracker
36	m_Commands
37	m_PrecacheObject
38	m_sPrecacheObjectPath
39	m_HostingImageServer
40	m_HostingServer
41	m_HostingClient
42	ReturnValue
43	RetAudioManager
44	OnConnectSuccess
45	nError
46	OnConnectFailed
47	OnWorldCleanup
48	OnBeginPlay
49	APBGameEngine
50	Default__APBGameEngine
51	m_eOpenWorldConstant
52	m_fValue
53	OpenWorldConstant
54	ShopUIFilter_Ammo
55	ShopUIFilter_Armory_ItemCat_Ammo
56	ShopUIFilter_ItemCat_All
57	ShopUIFilter_None
58	ShopUIFilterRestriction_None
59	etSkillRatingConstant
60	m_eSkillRatingConstant
61	m_fValue
62	m_sDescription
63	SkillRatingConstant
